year,city,ntd
2019,桃園市,"832,626"
2019,臺中市,"781,899"
2019,臺南市,"654,843"
2019,高雄市,"709,823"
2019,宜蘭縣,"668,544"
2019,新竹縣,"858,781"
2019,苗栗縣,"621,582"
2019,彰化縣,"577,658"
2019,南投縣,"584,190"
2019,雲林縣,"522,661"
2019,嘉義縣,"616,718"
2019,屏東縣,"545,713"
2019,臺東縣,"478,531"
2019,花蓮縣,"554,525"
2019,澎湖縣,"514,077"
2019,基隆市,"719,698"
2019,新竹市,"1,044,462"
2019,嘉義市,"788,432"
2019,金門縣,"599,588"
2019,連江縣,"599,256"
2020,臺灣地區,"747,922"
2020,新北市,"750,687"
2020,臺北市,"1,001,798"
2020,桃園市,"832,626"
2020,臺中市,"781,899"
2020,臺南市,"654,843"
2020,高雄市,"709,823"
2020,宜蘭縣,"668,544"
2020,新竹縣,"858,781"
2020,苗栗縣,"621,582"
2020,彰化縣,"577,658"
2020,南投縣,"584,190"
2020,雲林縣,"522,661"
2020,嘉義縣,"616,718"
2020,屏東縣,"545,713"
2020,臺東縣,"478,531"
2020,花蓮縣,"554,525"
2020,澎湖縣,"514,077"
2020,基隆市,"719,698"
2020,新竹市,"1,044,462"
2020,嘉義市,"788,432"
2020,金門縣,"599,588"
2020,連江縣,"599,256"
