year,city ,ntd
2018,連江縣,"891,686"
2019,臺灣地區,"1,043,664"
2019,新北市,"1,028,484"
2019,臺北市,"1,453,122"
2019,桃園市,"1,097,938"
2019,臺中市,"1,110,432"
2019,臺南市,"889,505"
2019,高雄市,"1,052,227"
2019,宜蘭縣,"943,095"
2019,新竹縣,"1,321,844"
2019,苗栗縣,"812,162"
2019,彰化縣,"792,028"
2019,南投縣,"753,096"
2019,雲林縣,"738,345"
2019,嘉義縣,"702,623"
2019,屏東縣,"780,684"
2019,臺東縣,"653,400"
2019,花蓮縣,"750,948"
2019,澎湖縣,"758,964"
2019,基隆市,"962,967"
2019,新竹市,"1,344,274"
2019,嘉義市,"941,869"
2019,金門縣,"699,315"
2019,連江縣,"872,751"
2020,臺灣地區,"1,043,664"
2020,新北市,"1,028,484"
2020,臺北市,"1,453,122"
2020,桃園市,"1,097,938"
2020,臺中市,"1,110,432"
2020,臺南市,"889,505"
2020,高雄市,"1,052,227"
2020,宜蘭縣,"943,095"
2020,新竹縣,"1,321,844"
2020,苗栗縣,"812,162"
2020,彰化縣,"792,028"
2020,南投縣,"753,096"
2020,雲林縣,"738,345"
2020,嘉義縣,"702,623"
2020,屏東縣,"780,684"
2020,臺東縣,"653,400"
2020,花蓮縣,"750,948"
2020,澎湖縣,"758,964"
2020,基隆市,"962,967"
2020,新竹市,"1,344,274"
2020,嘉義市,"941,869"
2020,金門縣,"699,315"
2020,連江縣,"872,751"
